c_value,l2_penalty,best_threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
0.01,100.0,0.1,0.44931506849315067,0.44931506849315067,1.0,0.6200378071833649,0.8035205072199976
0.1,10.0,0.45,0.584931506849315,0.5205930807248764,0.9634146341463414,0.6759358288770053,0.8099896857177526
1.0,1.0,0.5,0.7602739726027398,0.7508196721311475,0.698170731707317,0.7235387045813586,0.8227915301541076
10.0,0.1,0.45,0.7726027397260274,0.7262569832402235,0.7926829268292683,0.7580174927113703,0.8469921732799418
100.0,0.01,0.4,0.7671232876712328,0.7025641025641025,0.8353658536585366,0.7632311977715878,0.8583985560004854
