epoch,train_loss,valid_loss
1,0.44753363690144154,0.39716393031981856
2,0.3754467536177371,0.37878514377464273
3,0.35655817758853015,0.36170250935389214
4,0.34409754405185855,0.36017983478855736
5,0.3337635269028072,0.3553129210785387
6,0.3247098642099349,0.35381287657767924
7,0.3168166419509034,0.3511505395003091
8,0.3097473737929268,0.3552569530950216
9,0.30251576153532383,0.35673731820709514
10,0.2957249193586098,0.35616521918847466
11,0.2880829435928258,0.36237239630525275
12,0.2819353085950647,0.36350888491119954
13,0.27527360149807817,0.3761338137439731
14,0.2695183952613142,0.3774692019971334
15,0.26271095376535575,0.39110449331442304
16,0.2567915371963233,0.3986419984968136
17,0.2526937830988724,0.4003535007596383
18,0.24549962635867312,0.4175522873515531
19,0.23942764425824273,0.42196664769398495
20,0.23480942397452303,0.42722200688398626
21,0.22997275309232132,0.43927949658366366
22,0.22524624433634172,0.4343221361444103
23,0.2207213006753749,0.44687327914979175
24,0.2151870239879543,0.45388754449411417
25,0.21107010058436027,0.4532081479706944
26,0.20887361732135898,0.4766224218710395
27,0.20545320302528358,0.47050497743674535
28,0.2004609918341766,0.49277776863624545
29,0.19565217678041064,0.49146739879320944
30,0.1924511056540709,0.5067455057571817
